dhsclust,urban_rural,NumOfResCS,cSectionPerClus,weightDenomCS,wNumOfCsection,cSecRate
1,rural,7,3,4.649357915,1.992581964,42.85714286
2,rural,8,0,5.423943996,0,0
3,rural,10,3,7.266169786,2.179850936,30
4,rural,6,3,4.041870117,2.020935059,50
5,rural,9,3,5.384151042,1.794717014,33.33333333
6,rural,8,2,4.750199795,1.187549949,25
7,rural,5,3,1.553695053,0.932217032,60
8,rural,5,2,1.559800059,0.623920023,40
9,rural,6,2,4.1564219,1.385473967,33.33333333
10,rural,11,4,6.990829945,2.54211998,36.36363636
11,rural,5,2,3.192735016,1.277094007,40
12,rural,6,3,4.132961869,2.066480935,50
13,rural,5,1,3.318434954,0.663686991,20
14,rural,6,1,3.933851838,0.655641973,16.66666667
15,rural,8,2,4.71955204,1.17988801,25
16,rural,11,1,7.594114184,0.690374017,9.090909091
17,rural,7,4,2.777844995,1.587339997,57.14285714
18,rural,9,5,6.412220836,3.562344909,55.55555556
19,rural,5,3,4.022344947,2.413406968,60
20,rural,7,1,4.83852613,0.691218019,14.28571429
21,rural,12,0,7.513439655,0,0
22,rural,11,2,7.379800856,1.341781974,18.18181818
23,rural,10,3,6.335189939,1.900556982,30
24,rural,15,0,11.29350007,0,0
25,rural,12,0,7.40476799,0,0
26,rural,7,2,4.364240825,1.24692595,28.57142857
27,rural,11,2,11.03954494,2.007189989,18.18181818
28,rural,10,0,5.430170298,0,0
29,rural,13,2,7.908940256,1.216760039,15.38461538
30,rural,6,2,3.223386168,1.074462056,33.33333333
31,rural,6,2,2.44434607,0.814782023,33.33333333
32,rural,3,2,0.990767956,0.660511971,66.66666667
33,rural,5,1,3.279084861,0.655816972,20
34,rural,10,3,6.238039732,1.87141192,30
35,rural,8,0,4.826816082,0,0
36,rural,11,1,6.413780928,0.583070993,9.090909091
37,rural,4,0,2.715084076,0,0
38,rural,6,0,3.883391976,0,0
39,rural,7,0,5.79093194,0,0
40,rural,9,2,6.291504264,1.398112059,22.22222222
41,rural,6,3,3.975024104,1.987512052,50
42,rural,7,0,4.397624016,0,0
43,rural,7,4,4.34077692,2.480443954,57.14285714
44,rural,10,2,6.550679803,1.310135961,20
45,rural,5,2,3.646630049,1.45865202,40
46,rural,11,2,7.3680529,1.339645982,18.18181818
47,rural,9,2,5.957370222,1.323860049,22.22222222
48,rural,9,0,5.610167921,0,0
49,rural,10,6,6.511420012,3.906852007,60
50,urban,7,6,1.894073933,1.623491943,85.71428571
51,urban,9,4,4.790366828,2.129051924,44.44444444
52,urban,7,3,1.95221591,0.836663961,42.85714286
53,urban,7,1,2.207617909,0.315373987,14.28571429
54,urban,9,2,2.618342936,0.581853986,22.22222222
55,urban,7,2,2.053596944,0.586741984,28.57142857
56,urban,8,1,2.152856112,0.269107014,12.5
57,urban,13,1,4.039074033,0.310698003,7.692307692
58,urban,7,2,3.129230917,0.894065976,28.57142857
59,urban,9,1,2.457432121,0.273048013,11.11111111
60,urban,9,4,3.05072093,1.355875969,44.44444444
61,urban,6,3,2.033064008,1.016532004,50
62,urban,10,3,3.091090024,0.927327007,30
63,urban,7,3,1.731016025,0.741864011,42.85714286
64,urban,11,3,3.427160054,0.934680015,27.27272727
65,urban,3,3,0.626276985,0.626276985,100
66,urban,5,1,1.089034975,0.217806995,20
67,urban,12,1,2.765520036,0.230460003,8.333333333
68,urban,5,3,0.962914973,0.577748984,60
69,urban,4,3,0.634411991,0.475808993,75
